Random noisy data created with: 
 alpha: 0.26946395403816814 
 betta: 0.4936091462746127 

Linear regression
Newtons method: 
Iteration    a           b          D(a, b)  
        1    1.231870   -0.176856   114.108829
        2    0.331450    0.324312   106.886238
        3    0.323894    0.310737   106.855335
        4    0.320035    0.312885   106.855203
        5    0.320003    0.312826   106.855202
        6    0.319998    0.312829   106.855202

SR1 method: 
Iteration    a           b          D(a, b)  
        1    1.231871   -0.176855   114.108829
        2    1.136227   -0.123623   112.655949
        3    0.319989    0.312833   106.855202
        4    0.319994    0.312831   106.855202

Berndt-Hall-Hall-Hausman algorithm: 
Iteration    a           b          D(a, b)  
        1   -4.750270    2.496983   339.996646
        2   -4.020198    2.299917   271.955893
        3   -3.395016    2.094006   225.927811
        4   -2.964302    1.920776   199.576312
        5   -2.648866    1.808805   182.537944
        6   -2.174143    1.623567   160.669467
        7   -1.946703    1.530537   151.682937
        8   -1.679180    1.344694   141.272063
        9   -1.416217    1.185040   132.735768
       10   -1.251567    1.077305   128.104318
       11   -1.184294    1.073668   126.289681
       12   -1.105243    1.062342   124.431376
       13   -0.867852    0.947647   119.137340
       14   -0.746994    0.874866   116.711191
       15   -0.623980    0.787237   114.505770
       16   -0.474303    0.696096   112.291019
       17   -0.360548    0.635674   110.861911
       18   -0.293963    0.597730   110.140498
       19   -0.220742    0.556002   109.440123
       20   -0.149436    0.516286   108.845733
       21   -0.079568    0.482116   108.319729
       22   -0.043092    0.459282   108.111352
       23    0.003114    0.435262   107.848209
       24    0.035552    0.425672   107.636976
       25    0.085494    0.408663   107.373626
       26    0.132170    0.387463   107.195610
       27    0.157804    0.374975   107.117309
       28    0.178268    0.364875   107.063414
       29    0.192236    0.357923   107.030974
       30    0.210755    0.348656   106.993325
       31    0.226467    0.340759   106.966129
       32    0.234627    0.336867   106.952889
       33    0.258244    0.330911   106.904472
       34    0.269957    0.325079   106.893168
       35    0.279062    0.320562   106.885967
       36    0.284407    0.317914   106.882392
       37    0.289930    0.315181   106.879205
       38    0.295377    0.312490   106.876566
       39    0.297923    0.311235   106.875501
       40    0.300337    0.310046   106.874591

Broyden-Fletcher-Goldfarb-Shanno algorithm: 
Iteration    a           b          D(a, b)  
        1    2.508838    2.117470   996.845940
        2   -8.839381    5.726928   897.406665
        3   -7.908021    4.938808   714.535079
        4   -5.382628    3.554553   401.433040
        5    0.317244    0.307136   106.860315
        6    0.321270    0.312066   106.855218

Limited-memory BFGS:
Iteration    a           b          D(a, b)  
        1    2.513701    2.126208   1003.582433
        2    1.183576   -0.151383   113.363841
        3    0.952818   -0.033235   110.382022
        4    0.320962    0.311829   106.855237
        5    0.320965    0.311846   106.855235


Rational regression
Newtons method: 
Iteration    a           b          D(a, b)  
        1    1.238341    3.544729   120.624064
        2    0.794714    3.552181   116.162365
        3    0.641502    0.343870   109.581785
        4    0.535878    0.344328   108.741044
        5    0.446309   -0.202632   107.342258
        6    0.425556   -0.203844   107.289463
        7    0.409200   -0.269084   107.198996
        8    0.375838   -0.391180   107.144113
        9    0.373499   -0.389472   107.142716
       10    0.376619   -0.380166   107.140543
       11    0.380358   -0.368870   107.139607
       12    0.380410   -0.368641   107.139606
       13    0.380409   -0.368648   107.139606

SR1 method: 
Iteration    a           b          D(a, b)  
        1   -0.498567    4.081805   151.748182
        2    0.636690    4.153441   117.651118
        3    0.816429    4.117307   116.953637
        4    0.860678    1.291251   113.514685
        5    0.860678    1.291251   113.514685

Berndt-Hall-Hall-Hausman algorithm: 
Iteration    a           b          D(a, b)  
        1    1.395531    0.599472   152.278155
        2    1.402640    0.711537   149.109167
        3    1.411754    0.824931   146.600704
        4    1.422180    0.954242   144.228083
        5    1.428260    1.029644   143.039973
        6    1.437528    1.144597   141.457346
        7    1.449808    1.297315   139.705714
        8    1.445591    1.291039   139.509163
        9    1.376355    1.173957   136.540712
       10    1.123214    0.746568   126.315216
       11    0.837057    0.266436   116.373087
       12    0.838587    0.275885   116.340694
       13    0.842818    0.300753   116.272419
       14    0.845906    0.318548   116.232276
       15    0.848361    0.332797   116.202535
       16    0.851298    0.350165   116.167390
       17    0.852839    0.359733   116.146108
       18    0.854276    0.369217   116.122041
       19    0.855477    0.378159   116.093335
       20    0.856261    0.386056   116.056296
       21    0.856305    0.389182   116.029806
       22    0.856061    0.391696   115.995927
       23    0.855398    0.393374   115.950806
       24    0.850186    0.395192   115.701270
       25    0.402689   -0.282760   107.185456
       26    0.399500   -0.293833   107.175215
       27    0.395821   -0.305783   107.165714
       28    0.392524   -0.315630   107.159274
       29    0.390035   -0.322573   107.155593
       30    0.388304   -0.327186   107.153586
       31    0.387132   -0.330187   107.152500
       32    0.386738   -0.331157   107.152200

Broyden-Fletcher-Goldfarb-Shanno algorithm: 
Iteration    a           b          D(a, b)  
        1    2.035034    3.298230   153.150764
        2    1.221211    1.802168   122.948512
        3    0.527863    0.276232   108.531677
        4    0.376133   -0.217537   107.545134
        5    0.350017   -0.395819   107.226124
        6    0.377891   -0.396885   107.151694
        7    0.386342   -0.346409   107.142972
        8    0.377889   -0.373068   107.139965
        9    0.378395   -0.373895   107.139825

Limited-memory BFGS:
Iteration    a           b          D(a, b)  
        1    2.044588    3.295277   153.751949
        2    0.944989    3.341071   116.451523
        3    0.777536    3.298563   115.771813
        4    0.742454    3.137435   115.534877
        5    0.187194   -0.772999   109.931288
        6    0.230629   -0.490734   109.663672
        7    0.403145   -0.278360   107.190492
        8    0.394097   -0.312437   107.160791
        9    0.374767   -0.389652   107.142829
       10    0.379046   -0.370944   107.139714
       11    0.379046   -0.370944   107.139714


